player_id,sport,age,speed,agility,accuracy,stamina,reaction_time,balance,technique,overall_score,talent_level
P001,Football,19,82,85,90,84,0.72,88,91,88,High
P002,Football,20,75,78,76,80,0.88,79,77,77,Medium
P003,Football,18,91,92,94,91,0.61,93,95,93,High
P004,Football,21,68,70,65,68,1.05,67,64,67,Low
P005,Football,19,88,87,88,86,0.69,90,89,88,High
P006,Football,20,72,74,72,75,0.92,73,71,73,Medium
P007,Football,18,95,96,97,94,0.55,97,98,96,High
P008,Football,22,64,66,61,63,1.12,62,59,63,Low
P009,Football,19,79,82,80,81,0.84,83,82,81,Medium
P010,Football,20,86,89,91,88,0.65,92,93,90,High
P011,Football,21,70,71,69,72,0.98,70,68,70,Low
P012,Football,18,93,94,95,93,0.58,95,96,95,High
P013,Football,20,77,79,78,79,0.86,80,79,79,Medium
P014,Football,19,81,84,86,85,0.74,87,88,86,High
P015,Football,22,67,69,64,66,1.08,65,62,65,Low
P016,Football,18,90,91,93,90,0.63,94,94,92,High
P017,Football,20,73,76,75,77,0.90,76,74,75,Medium
P018,Football,19,85,88,89,87,0.70,89,90,88,High
P019,Football,21,62,65,58,60,1.18,60,56,60,Low
P020,Football,19,89,90,92,89,0.67,91,92,91,High
